cik,name,sic,sic_description,state,n_10k,n_8k,n_total_filings,tier,ticker,disrupted
0000002488,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,DE,10,113,1003,2,AMD,0
0000901832,ASTRAZENECA PLC,2834,Pharmaceutical Preparations,X0,0,0,1003,1,AZN,0
0001321655,Palantir Technologies Inc.,7372,Services-Prepackaged Software,,6,41,925,2,PLTR,0
0001114448,NOVARTIS AG,2834,Pharmaceutical Preparations,V8,0,0,1001,1,NVS,0
0001094517,TOYOTA MOTOR CORP/,3711,Motor Vehicles & Passenger Car Bodies,M0,0,0,872,2,TM,0
0002070829,"Contemporary Amperex Technology Co., Limited/ADR",0,,F4,0,0,3,2,CYATY,0
0000858877,"CISCO SYSTEMS, INC.",3576,Computer Communications Equipment,DE,6,81,1000,1,CSCO,0
0000310158,"Merck & Co., Inc.",2834,Pharmaceutical Preparations,NJ,8,70,1000,1,MRK,0
0001089113,HSBC HOLDINGS PLC,6035,"Savings Institution, Federally Chartered",,0,0,1002,2,HSBC,0
0000707549,LAM RESEARCH CORP,3559,"Special Industry Machinery, NEC",DE,12,141,1000,1,LRCX,0
0000006951,APPLIED MATERIALS INC /DE,3674,Semiconductors & Related Devices,DC,14,142,1002,2,AMAT,0
0001413329,Philip Morris International Inc.,2111,Cigarettes,VA,9,208,1000,1,PM,0
0000886982,GOLDMAN SACHS GROUP INC,6211,"Security Brokers, Dealers & Flotation Companies",DE,1,14,10824,2,GS,0
0000895421,MORGAN STANLEY,6211,"Security Brokers, Dealers & Flotation Companies",DE,1,12,18694,2,MS,0
0000072971,WELLS FARGO & COMPANY/MN,6021,National Commercial Banks,DE,2,41,1024,2,WFC,0
0000101829,RTX Corp,3724,Aircraft Engines & Engine Parts,DE,9,113,1004,2,RTX,0
0000731766,UNITEDHEALTH GROUP INC,6324,Hospital & Medical Service Plans,DE,5,91,1004,2,UNH,0
0000051143,INTERNATIONAL BUSINESS MACHINES CORP,3570,Computer & office Equipment,NY,6,115,1005,1,IBM,0
0001000275,ROYAL BANK OF CANADA,6029,"Commercial Banks, NEC",A6,0,0,4403,2,RY,0
0001000184,SAP SE,7372,Services-Prepackaged Software,2M,0,0,658,2,SAP,0
0000004962,AMERICAN EXPRESS CO,6199,Finance Services,NY,8,176,1001,2,AXP,0
0001283699,"T-Mobile US, Inc.",4812,Radiotelephone Communications,DE,7,148,1001,2,TMUS,0
0001067839,"INVESCO QQQ TRUST, SERIES 1",0,,,0,2,245,2,QQQ,0
0000063908,MCDONALDS CORP,5812,Retail-Eating  Places,DE,10,122,1001,2,MCD,0
0001707925,LINDE PLC,2810,Industrial Inorganic Chemicals,L2,8,75,699,1,LIN,0
0000050863,INTEL CORP,3674,Semiconductors & Related Devices,DE,8,118,1002,2,INTC,0
0001306965,Shell plc,1311,Crude Petroleum & Natural Gas,DC,0,0,1001,2,SHEL,0
0000077476,PEPSICO INC,2080,Beverages,NC,12,155,1005,1,PEP,0
0001996810,GE Vernova Inc.,3600,Electronic & Other Electrical Equipment (No Computer Equip),DE,2,15,160,2,GEV,0
0000353278,NOVO NORDISK A S,2834,Pharmaceutical Preparations,,0,0,1000,1,NVO,0
0000067088,MITSUBISHI UFJ FINANCIAL GROUP INC,6029,"Commercial Banks, NEC",,0,0,1002,2,MUFG,0
0000831001,CITIGROUP INC,6021,National Commercial Banks,DE,1,27,10907,2,C,0
0000318154,AMGEN INC,2836,"Biological Products, (No Diagnostic Substances)",DE,9,94,1000,1,AMGN,0
0000097476,TEXAS INSTRUMENTS INC,3674,Semiconductors & Related Devices,DE,10,96,1002,2,TXN,0
0000732712,VERIZON COMMUNICATIONS INC,4813,Telephone Communications (No Radiotelephone),DE,3,49,1009,2,VZ,0
0000732717,AT&T INC.,4813,Telephone Communications (No Radiotelephone),DE,5,67,1010,2,T,0
0000863064,RIO TINTO PLC,1000,Metal Mining,X0,0,0,1003,2,RIO,0
0000001800,ABBOTT LABORATORIES,2834,Pharmaceutical Preparations,IL,9,83,1000,1,ABT,0
0000319201,KLA CORP,3827,Optical Instruments & Lenses,DE,9,114,1001,2,KLAC,0
0000887028,RIO TINTO LTD,1000,Metal Mining,C3,0,0,773,2,RTNTF,0
0000097745,THERMO FISHER SCIENTIFIC INC.,3829,"Measuring & Controlling Devices, NEC",DE,7,100,1001,2,TMO,0
0000946770,DEUTSCHE TELEKOM AG,4812,Radiotelephone Communications,,0,0,569,2,DTEGY,0
0000811809,BHP Group Ltd,1000,Metal Mining,C3,0,0,1000,2,BHP,0
0001744489,Walt Disney Co,7990,Services-Miscellaneous Amusement & Recreation,DE,7,89,1000,2,DIS,0
0000753308,NEXTERA ENERGY INC,4911,Electric Services,FL,8,158,1000,2,NEE,0
0000882095,"GILEAD SCIENCES, INC.",2836,"Biological Products, (No Diagnostic Substances)",DE,8,93,1001,1,GILD,0
0000012927,BOEING CO,3721,Aircraft,DE,8,107,1001,2,BA,0
0000891478,"Banco Santander, S.A.",6029,"Commercial Banks, NEC",U3,0,0,1000,2,SAN,0
0000820313,AMPHENOL CORP /DE/,3678,Electronic Connectors,DE,13,157,1000,2,APH,0
0001108524,"Salesforce, Inc.",7372,Services-Prepackaged Software,DE,2,21,1003,2,CRM,0
0001035267,INTUITIVE SURGICAL INC,3842,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",DE,8,69,1004,2,ISRG,0
0001596532,"Arista Networks, Inc.",3576,Computer Communications Equipment,DE,5,38,1005,1,ANET,0
0000109198,TJX COMPANIES INC /DE/,5651,Retail-Family Clothing Stores,DE,13,133,1002,4,TJX,0
0000316709,SCHWAB CHARLES CORP,6211,"Security Brokers, Dealers & Flotation Companies",DE,5,63,1002,2,SCHW,0
0001144967,HDFC BANK LTD,6029,"Commercial Banks, NEC",K7,0,0,682,2,HDB,0
0002012383,"BlackRock, Inc.",6211,"Security Brokers, Dealers & Flotation Companies",DE,1,13,2358,2,BLK,0
0000006281,ANALOG DEVICES INC,3674,Semiconductors & Related Devices,MA,8,104,1001,2,ADI,0
0000879764,TotalEnergies SE,1311,Crude Petroleum & Natural Gas,I0,0,0,932,2,TTE,0
0001393818,Blackstone Inc.,6282,Investment Advice,DE,9,103,1001,2,BX,0
0000773840,HONEYWELL INTERNATIONAL INC,3724,Aircraft Engines & Engine Parts,DE,7,105,1000,2,HON,0
0000947263,TORONTO DOMINION BANK,6029,"Commercial Banks, NEC",A6,0,0,3278,2,TD,0
0000315189,DEERE & CO,3523,Farm Machinery & Equipment,DE,12,184,1003,1,DE,0
0001001838,SOUTHERN COPPER CORP/,1000,Metal Mining,DE,19,211,1000,2,SCCO,0
0001594805,SHOPIFY INC.,7372,Services-Prepackaged Software,Z4,2,11,495,2,SHOP,0
0000217410,UNILEVER PLC,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",,0,0,1001,1,UL,0
0000060667,LOWES COMPANIES INC,5211,Retail-Lumber & Other Building Materials Dealers,NC,10,117,1000,4,LOW,0
0000100885,UNION PACIFIC CORP,4011,"Railroads, Line-Haul Operating",UT,6,95,1001,2,UNP,0
0000078003,PFIZER INC,2834,Pharmaceutical Preparations,DE,5,65,1003,1,PFE,0
0001668717,Anheuser-Busch InBev SA/NV,2082,Malt Beverages,C9,0,0,351,1,BUD,0
0000804328,QUALCOMM INC/DE,3663,Radio & Tv Broadcasting & Communications Equipment,DE,8,94,1006,2,QCOM,0
0001543151,"Uber Technologies, Inc",7389,"Services-Business Services, NEC",DE,6,94,1000,2,UBER,0
0000936468,LOCKHEED MARTIN CORP,3760,Guided Missiles & Space Vehicles & Parts,MD,11,125,1000,2,LMT,0
0001551182,Eaton Corp plc,3590,Misc Industrial & Commercial Machinery & Equipment,,9,99,1019,1,ETN,0
0000313616,DANAHER CORP /DE/,3823,"Industrial Instruments For Measurement, Display, and Control",DE,6,78,1000,2,DHR,0
0001022837,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",6029,"Commercial Banks, NEC",M0,0,0,819,2,SMFG,0
0001737806,PDD Holdings Inc.,7389,"Services-Business Services, NEC",E9,0,0,194,2,PDD,0
0000766704,WELLTOWER INC.,6798,Real Estate Investment Trusts,DE,12,164,1002,2,WELL,0
0000310764,STRYKER CORP,3841,Surgical & Medical Instruments & Apparatus,MI,10,99,1000,2,SYK,0
0000047710,HITACHI LTD,1600,Heavy Construction Other Than Bldg Const - Contractors,,0,0,340,2,HTHIY,0
0001075531,Booking Holdings Inc.,4700,Transportation Services,DE,12,175,1009,2,BKNG,0
0001467373,Accenture plc,7389,"Services-Business Services, NEC",L2,3,26,1004,2,ACN,0
0001164727,NEWMONT Corp /DE/,1040,Gold and Silver Ores,DE,8,113,1002,2,NEM,0
0001751008,AppLovin Corp,7370,"Services-Computer Programming, Data Processing, Etc.",DE,5,52,717,2,APP,0
0001610520,UBS Group AG,6021,National Commercial Banks,V8,0,0,1006,2,UBS,0
0001163165,CONOCOPHILLIPS,2911,Petroleum Refining,DE,9,80,1000,1,COP,0
0001973239,ARM HOLDINGS PLC /UK,3674,Semiconductors & Related Devices,X0,0,0,85,2,ARM,0
0000842180,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",6029,"Commercial Banks, NEC",,0,0,1000,2,BBVA,0
0000313838,Sony Group Corp,3651,Household Audio & Video Equipment,M0,0,0,1000,2,SONY,0
0000927628,CAPITAL ONE FINANCIAL CORP,6021,National Commercial Banks,DE,6,210,1001,2,COF,0
0002046954,Ultratrex Inc.,3531,Construction Machinery & Equip,U0,0,0,11,1,UTX,0
0001045609,"Prologis, Inc.",6798,Real Estate Investment Trusts,MD,8,120,1002,2,PLD,0
0000896159,Chubb Ltd,6331,"Fire, Marine & Casualty Insurance",V8,8,85,1000,2,CB,0
0001303523,British American Tobacco p.l.c.,2111,Cigarettes,,0,0,1002,1,BTI,0
0001158838,ADVANTEST CORP,3674,Semiconductors & Related Devices,M0,0,0,312,2,ATEYY,0
0001381197,"Interactive Brokers Group, Inc.",6211,"Security Brokers, Dealers & Flotation Companies",DE,8,73,1000,2,IBKR,0
0000064040,S&P Global Inc.,7320,"Services-Consumer Credit Reporting, Collection Agencies",NY,9,134,1004,2,SPGI,0
0001613103,Medtronic plc,3845,Electromedical & Electrotherapeutic Apparatus,,10,117,1004,2,MDT,0
0000076334,Parker-Hannifin Corp,3490,Miscellaneous Fabricated Metal Products,OH,9,80,1015,1,PH,0
0001327567,Palo Alto Networks Inc,3577,"Computer Peripheral Equipment, NEC",DE,7,76,1000,1,PANW,0
0001131399,GSK plc,2834,Pharmaceutical Preparations,X0,0,0,1002,1,GSK,0
0000014272,BRISTOL MYERS SQUIBB CO,2834,Pharmaceutical Preparations,DE,8,121,1008,1,BMY,0
0000860730,"HCA Healthcare, Inc.",8062,"Services-General Medical & Surgical Hospitals, NEC",,9,100,1000,2,HCA,0
0000875320,VERTEX PHARMACEUTICALS INC / MA,2834,Pharmaceutical Preparations,MA,7,49,1000,1,VRTX,0
0001222333,SPDR GOLD TRUST,6221,Commodity Contracts Brokers & Dealers,,21,39,995,2,GLD,0
0000080661,PROGRESSIVE CORP/OH/,6331,"Fire, Marine & Casualty Insurance",OH,4,64,1001,2,PGR,0
0000927653,MCKESSON CORP,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",DE,11,143,1002,3,MCK,0
0001166691,COMCAST CORP,4841,Cable & Other Pay Television Services,PA,9,121,1003,2,CMCSA,0
0001373715,"ServiceNow, Inc.",7372,Services-Prepackaged Software,DE,4,31,1006,2,NOW,0
0001335730,MIZUHO FINANCIAL GROUP INC,6021,National Commercial Banks,,0,0,1000,2,MFG,0
0000024741,CORNING INC /NY,3357,Drawing & Insulating of  Nonferrous Wire,NY,5,54,1001,1,GLW,0
0000885725,BOSTON SCIENTIFIC CORP,3841,Surgical & Medical Instruments & Apparatus,DE,6,92,1014,2,BSX,0
0001103838,ICICI BANK LTD,6029,"Commercial Banks, NEC",,0,0,1000,2,IBN,0
0000764180,"ALTRIA GROUP, INC.",2111,Cigarettes,VA,12,160,1000,1,MO,0
0001121404,Sanofi,2834,Pharmaceutical Preparations,I0,0,0,1000,1,SNY,0
0000895728,ENBRIDGE INC,4610,Pipe Lines (No Natural Gas),A0,9,126,1003,2,ENB,0
0000002809,AGNICO EAGLE MINES LTD,1040,Gold and Silver Ores,A6,0,0,764,2,AEM,0
0000796343,ADOBE INC.,7372,Services-Prepackaged Software,DE,9,81,1000,2,ADBE,0
0000829224,STARBUCKS CORP,5810,Retail-Eating & Drinking Places,WA,11,140,1002,2,SBUX,0
0001156375,CME GROUP INC.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",DE,8,88,1003,2,CME,0
0000896878,INTUIT INC.,7372,Services-Prepackaged Software,DE,6,60,1004,2,INTU,0
0001868275,Constellation Energy Corp,4911,Electric Services,PA,5,57,360,2,CEG,0
0001001085,BROOKFIELD Corp /ON/,6512,Opeators of  Nonresidential Buildings,A6,0,0,1000,2,BN,0
0001535527,"CrowdStrike Holdings, Inc.",7372,Services-Prepackaged Software,DE,6,54,1000,2,CRWD,0
0001133421,NORTHROP GRUMMAN CORP /DE/,3812,"Search, Detection, Navigation, Guidance, Aeronautical Sys",,10,105,1000,2,NOC,0
0000927971,BANK OF MONTREAL /CAN/,6029,"Commercial Banks, NEC",A6,0,0,8103,2,BMO,0
0001466258,Trane Technologies plc,3822,Auto Controls For Regulating Residential & Comml Environments,L2,9,90,1001,2,TT,0
0001099590,MERCADOLIBRE INC,7389,"Services-Business Services, NEC",,18,213,781,2,MELI,0
0000106040,WESTERN DIGITAL CORP,3572,Computer Storage Devices,DE,8,110,1005,1,WDC,0
0001132597,Itau Unibanco Holding S.A.,6022,State Commercial Banks,D5,0,0,1003,2,ITUB,0
0000004281,Howmet Aerospace Inc.,3350,Rolling Drawing & Extruding of  Nonferrous Metals,DE,10,168,1001,1,HWM,0
0000092122,SOUTHERN CO,4911,Electric Services,DE,6,95,1001,2,SO,0
0000064803,CVS HEALTH Corp,5912,Retail-Drug Stores and Proprietary Stores,DE,9,155,1001,4,CVS,0
0000313807,BP PLC,2911,Petroleum Refining,X0,0,0,1000,1,BP,0
0001119639,PETROBRAS - PETROLEO BRASILEIRO SA,1311,Crude Petroleum & Natural Gas,D5,0,0,1000,2,PBR,0
0001090727,UNITED PARCEL SERVICE INC,4210,Trucking & Courier Services (No Air),DE,11,100,1007,2,UPS,0
0001639920,Spotify Technology S.A.,4832,Radio Broadcasting Stations,N4,0,0,288,2,SPOT,0
0001326160,Duke Energy CORP,4931,Electric & Other Services Combined,DE,7,145,1009,2,DUK,0
0000320187,"NIKE, Inc.",3021,Rubber & Plastics Footwear,OR,11,117,1000,1,NKE,0
0001404912,KKR & Co. Inc.,6282,Investment Advice,,11,164,1001,2,KKR,0
0000009631,BANK OF NOVA SCOTIA,6022,State Commercial Banks,Z4,0,0,3770,2,BNS,0
0000040533,GENERAL DYNAMICS CORP,3730,Ship & Boat Building & Repairing,DE,8,59,1001,2,GD,0
0000823768,WASTE MANAGEMENT INC,4953,Refuse Systems,DE,10,116,1001,2,WM,0
0001048286,MARRIOTT INTERNATIONAL INC /MD/,7011,Hotels & Motels,DE,9,103,1000,2,MAR,0
0000713676,"PNC FINANCIAL SERVICES GROUP, INC.",6021,National Commercial Banks,PA,6,99,1015,2,PNC,0
0001674101,Vertiv Holdings Co,3679,"Electronic Components, NEC",DE,8,93,766,2,VRT,0
0001137789,Seagate Technology Holdings plc,3572,Computer Storage Devices,,8,116,1000,1,STX,0
0000036104,US BANCORP \DE\,6021,National Commercial Banks,DE,7,101,1000,2,USB,0
0000089800,SHERWIN WILLIAMS CO,5200,"Retail-Building Materials, Hardware, Garden Supply",OH,10,128,1001,4,SHW,0
0001278680,ISHARES GOLD TRUST,6221,Commodity Contracts Brokers & Dealers,NY,20,31,467,2,IAU,0
0000312069,BARCLAYS PLC,6029,"Commercial Banks, NEC",X0,0,0,1000,2,BCS,0
0001101239,EQUINIX INC,6798,Real Estate Investment Trusts,DE,7,125,1002,2,EQIX,0
0001048911,FEDEX CORP,4513,Air Courier Services,DE,11,154,1004,2,FDX,0
0001004315,NATIONAL GRID PLC,4922,Natural Gas Transmission,,0,0,1002,2,NGG,0
0001045520,CANADIAN IMPERIAL BANK OF COMMERCE /CAN/,6029,"Commercial Banks, NEC",,0,0,1120,2,CM,0
0000831259,FREEPORT-MCMORAN INC,1000,Metal Mining,DE,13,202,1002,2,FCX,0
0002039784,"Midea Group Co., Ltd./ADR",0,,F4,0,0,4,2,MGCLY,0
0002023554,Sandisk Corp,3572,Computer Storage Devices,DE,1,10,164,1,SNDK,0
0001571949,"Intercontinental Exchange, Inc.",6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",DE,7,83,1000,2,ICE,0
0000107263,"WILLIAMS COMPANIES, INC.",4922,Natural Gas Transmission,DE,10,138,1000,2,WMB,0
0000008670,AUTOMATIC DATA PROCESSING INC,7374,Services-Computer Processing & Data Preparation,DE,8,80,1001,2,ADP,0
0000062709,"MARSH & MCLENNAN COMPANIES, INC.",6411,"Insurance Agents, Brokers & Service",DE,9,89,1000,2,MRSH,0
0001053507,AMERICAN TOWER CORP /MA/,6798,Real Estate Investment Trusts,DE,9,239,1001,2,AMT,0
0001017413,CANADIAN NATURAL RESOURCES LTD,1311,Crude Petroleum & Natural Gas,A0,0,0,630,2,CNQ,0
0000884887,ROYAL CARIBBEAN CRUISES LTD,4400,Water Transportation,,11,188,1000,2,RCL,0
0000066740,3M CO,3841,Surgical & Medical Instruments & Apparatus,DE,9,141,1012,2,MMM,0
0000049826,ILLINOIS TOOL WORKS INC,3560,General Industrial Machinery & Equipment,DE,12,93,1001,1,ITW,0
0000031462,ECOLAB INC.,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",DE,6,80,1001,1,ECL,0
0001039765,ING GROEP NV,6029,"Commercial Banks, NEC",P7,0,0,1001,2,ING,0
0000833444,Johnson Controls International plc,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,L2,9,111,1001,1,JCI,0
0000032604,EMERSON ELECTRIC CO,3600,Electronic & Other Electrical Equipment (No Computer Equip),MO,13,207,1000,2,EMR,0
0001160106,Lloyds Banking Group plc,6029,"Commercial Banks, NEC",X0,0,0,1000,2,LYG,0
0000883241,SYNOPSYS INC,7372,Services-Prepackaged Software,DE,11,141,1000,2,SNPS,0
0001937926,Brookfield Asset Management Ltd.,6282,Investment Advice,A1,1,28,181,2,BAM,0
0000872589,"REGENERON PHARMACEUTICALS, INC.",2834,Pharmaceutical Preparations,NY,10,86,1003,1,REGN,0
0001390777,Bank of New York Mellon Corp,6022,State Commercial Banks,DE,5,82,1010,2,BK,0
0000849395,CRH PUBLIC LTD CO,3241,"Cement, Hydraulic",L2,3,40,1000,1,CRH,0
0000813672,CADENCE DESIGN SYSTEMS INC,7372,Services-Prepackaged Software,DE,8,67,1000,2,CDNS,0
0001691493,Nu Holdings Ltd.,6199,Finance Services,E9,0,0,303,2,NU,0
0000895564,BAE SYSTEMS PLC /FI/,0,,X0,0,0,292,2,BAESY,0
0000026172,CUMMINS INC,3510,Engines & Turbines,IN,10,114,1001,1,CMI,0
0000865752,Monster Beverage Corp,2086,Bottled & Canned Soft Drinks & Carbonated Waters,,13,126,1000,1,MNST,0
0000756894,BARRICK MINING CORP,1040,Gold and Silver Ores,A1,0,0,625,2,B,0
0001059556,MOODYS CORP /DE/,7320,"Services-Consumer Credit Reporting, Collection Agencies",DE,9,96,1002,2,MCO,0
0000723254,CINTAS CORP,2320,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",WA,19,147,1002,1,CTAS,0
0001690820,CARVANA CO.,5500,Retail-Auto Dealers & Gasoline Stations,DE,4,39,1000,4,CVNA,0
0001571996,Dell Technologies Inc.,3571,Electronic Computers,DE,6,93,1001,1,DELL,0
0000898173,O REILLY AUTOMOTIVE INC,5531,Retail-Auto & Home Supply Stores,,8,136,1000,4,ORLY,0
0001061219,ENTERPRISE PRODUCTS PARTNERS L.P.,4922,Natural Gas Transmission,DE,13,165,1010,2,EPD,0
0002053383,Kioxia Holdings Corporation/ADR,0,,M0,0,0,3,2,KXIAY,0
0001467858,General Motors Co,3711,Motor Vehicles & Passenger Car Bodies,,10,129,1001,2,GM,1
0001739940,Cigna Group,6324,Hospital & Medical Service Plans,DE,7,123,961,2,CI,0
0001103982,"Mondelez International, Inc.",2000,Food and Kindred Products,IL,13,210,1001,1,MDLZ,0
0001050915,"QUANTA SERVICES, INC.",1731,Electrical Work,DE,14,135,1000,2,PWR,0
0000021665,COLGATE PALMOLIVE CO,2844,"Perfumes, Cosmetics & Other Toilet Preparations",DE,9,82,1001,1,CL,0
0000087347,SLB LIMITED/NV,1389,"Oil & Gas Field Services, NEC",P8,8,99,1005,2,SLB,0
0001110646,"NetEase, Inc.",7372,Services-Prepackaged Software,E9,0,0,404,2,NTES,0
0000277948,CSX CORP,4011,"Railroads, Line-Haul Operating",VA,12,148,1003,2,CSX,0
0001156039,"Elevance Health, Inc.",6324,Hospital & Medical Service Plans,IN,13,170,1002,2,ELV,0
0001063761,SIMON PROPERTY GROUP INC.,6798,Real Estate Investment Trusts,IN,12,123,1002,2,SPG,0
0000016875,CANADIAN PACIFIC KANSAS CITY LTD/CN,4011,"Railroads, Line-Haul Operating",Z4,10,345,1001,2,CP,0
0000068505,"Motorola Solutions, Inc.",3663,Radio & Tv Broadcasting & Communications Equipment,DE,10,112,1003,2,MSI,0
0001792789,"DoorDash, Inc.",7389,"Services-Business Services, NEC",DE,5,46,1001,2,DASH,0
0001559720,"Airbnb, Inc.",7340,Services-To Dwellings & Other Buildings,DE,4,26,1000,2,ABNB,0
0001260221,TransDigm Group INC,3728,"Aircraft Parts & Auxiliary Equipment, NEC",DE,8,172,1001,2,TDG,0
0001585689,Hilton Worldwide Holdings Inc.,7011,Hotels & Motels,DE,12,128,1001,2,HLT,0
0001858681,"Apollo Global Management, Inc.",6282,Investment Advice,DE,3,89,681,2,APO,0
0001129137,AMERICA MOVIL SAB DE CV/,4813,Telephone Communications (No Radiotelephone),O5,0,0,856,2,AMX,0
0001506307,"KINDER MORGAN, INC.",4922,Natural Gas Transmission,DE,12,232,1008,2,KMI,0
0001437107,"Warner Bros. Discovery, Inc.",4841,Cable & Other Pay Television Services,DE,7,133,1001,2,WBD,0
0000702165,NORFOLK SOUTHERN CORP,4011,"Railroads, Line-Haul Operating",VA,6,76,1009,2,NSC,0
0001140625,EQUINOR ASA,2911,Petroleum Refining,,0,0,1001,1,EQNR,0
0001107457,INFINEON TECHNOLOGIES AG,3674,Semiconductors & Related Devices,DE,0,0,243,2,IFNNY,0
0001140859,"Cencora, Inc.",5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",DE,8,132,1006,3,COR,0
0000315293,Aon plc,6411,"Insurance Agents, Brokers & Service",L2,12,153,1000,2,AON,0
0001159508,DEUTSCHE BANK AKTIENGESELLSCHAFT,6022,State Commercial Banks,,0,0,1000,2,DB,0
0001385157,TE Connectivity plc,5065,"Wholesale-Electronic Parts & Equipment, NEC",,9,103,1000,3,TEL,0
0000004904,AMERICAN ELECTRIC POWER CO INC,4911,Electric Services,NY,8,103,1008,2,AEP,0
0000844150,NatWest Group plc,6029,"Commercial Banks, NEC",X0,0,0,1002,2,NWG,0
0000917851,Vale S.A.,1000,Metal Mining,,0,0,1000,2,VALE,0
0001783879,"Robinhood Markets, Inc.",6211,"Security Brokers, Dealers & Flotation Companies",DE,5,56,1015,2,HOOD,0
0001060391,"REPUBLIC SERVICES, INC.",4953,Refuse Systems,DE,6,62,1000,2,RSG,0
0000311337,SUNCOR ENERGY INC,2911,Petroleum Refining,A0,0,0,975,1,SU,0
0000092230,TRUIST FINANCIAL CORP,6021,National Commercial Banks,NC,6,89,1001,2,TFC,0
0001477333,"Cloudflare, Inc.",7372,Services-Prepackaged Software,DE,5,43,1000,2,NET,0
0001835632,"Marvell Technology, Inc.",3674,Semiconductors & Related Devices,DE,4,72,734,2,MRVL,0
0001703399,Sea Ltd,7380,Services-Miscellaneous Business Services,E9,0,0,266,2,SE,0
0000821189,EOG RESOURCES INC,1311,Crude Petroleum & Natural Gas,DE,6,84,1005,2,EOG,0
0000086312,"TRAVELERS COMPANIES, INC.",6331,"Fire, Marine & Casualty Insurance",MN,9,61,1000,2,TRV,0
0000010795,BECTON DICKINSON & CO,3841,Surgical & Medical Instruments & Apparatus,NJ,9,138,1002,2,BDX,0
